Entry	Protein names	Gene names	Length	Entry name
P09874	Poly [ADP-ribose] polymerase 1 (PARP-1) (EC 2.4.2.30) (ADP-ribosyltransferase diphtheria toxin-like 1) (ARTD1) (DNA ADP-ribosyltransferase PARP1) (EC 2.4.2.-) (NAD(+) ADP-ribosyltransferase 1) (ADPRT 1) (Poly[ADP-ribose] synthase 1) (Protein poly-ADP-ribosyltransferase PARP1) (EC 2.4.2.-)	PARP1 ADPRT PPOL	1014	PARP1_HUMAN
O60336	Mitogen-activated protein kinase-binding protein 1 (JNK-binding protein 1) (JNKBP-1)	MAPKBP1 JNKBP1 KIAA0596	1514	MABP1_HUMAN
Q9H2G4	Testis-specific Y-encoded-like protein 2 (TSPY-like protein 2) (Cell division autoantigen 1) (Cutaneous T-cell lymphoma-associated antigen se20-4) (CTCL-associated antigen se20-4) (Differentially-expressed nucleolar TGF-beta1 target protein) (Nuclear protein of 79 kDa) (NP79)	TSPYL2 CDA1 DENTT TSPX HRIHFB2216	693	TSYL2_HUMAN
P15822	Zinc finger protein 40 (Cirhin interaction protein) (CIRIP) (Gate keeper of apoptosis-activating protein) (GAAP) (Human immunodeficiency virus type I enhancer-binding protein 1) (HIV-EP1) (Major histocompatibility complex-binding protein 1) (MBP-1) (Positive regulatory domain II-binding factor 1) (PRDII-BF1)	HIVEP1 ZNF40	2718	ZEP1_HUMAN
Q9UID6	Zinc finger protein 639 (Zinc finger protein ANC_2H01) (Zinc finger protein ZASC1)	ZNF639 ZASC1	485	ZN639_HUMAN
P29972	Aquaporin-1 (AQP-1) (Aquaporin-CHIP) (Urine water channel) (Water channel protein for red blood cells and kidney proximal tubule)	AQP1 CHIP28	269	AQP1_HUMAN
Q8N5Z5	BTB/POZ domain-containing protein KCTD17	KCTD17	321	KCD17_HUMAN
Q15654	Thyroid receptor-interacting protein 6 (TR-interacting protein 6) (TRIP-6) (Opa-interacting protein 1) (OIP-1) (Zyxin-related protein 1) (ZRP-1)	TRIP6 OIP1	476	TRIP6_HUMAN
P55087	Aquaporin-4 (AQP-4) (Mercurial-insensitive water channel) (MIWC) (WCH4)	AQP4	323	AQP4_HUMAN
P55064	Aquaporin-5 (AQP-5)	AQP5	265	AQP5_HUMAN
P36405	ADP-ribosylation factor-like protein 3	ARL3 ARFL3	182	ARL3_HUMAN
Q15041	ADP-ribosylation factor-like protein 6-interacting protein 1 (ARL-6-interacting protein 1) (Aip-1) (Apoptotic regulator in the membrane of the endoplasmic reticulum)	ARL6IP1 ARL6IP ARMER KIAA0069	203	AR6P1_HUMAN
Q969H0	F-box/WD repeat-containing protein 7 (Archipelago homolog) (hAgo) (F-box and WD-40 domain-containing protein 7) (F-box protein FBX30) (SEL-10) (hCdc4)	FBXW7 FBW7 FBX30 SEL10	707	FBXW7_HUMAN
Q9BT40	Inositol polyphosphate 5-phosphatase K (EC 3.1.3.56) (Phosphatidylinositol-3,4,5-trisphosphate 5-phosphatase) (EC 3.1.3.86) (Phosphatidylinositol-4,5-bisphosphate 5-phosphatase) (EC 3.1.3.36) (Skeletal muscle and kidney-enriched inositol phosphatase)	INPP5K PPS SKIP	448	INP5K_HUMAN
Q13573	SNW domain-containing protein 1 (Nuclear protein SkiP) (Nuclear receptor coactivator NCoA-62) (Ski-interacting protein)	SNW1 SKIIP SKIP	536	SNW1_HUMAN
P10398	Serine/threonine-protein kinase A-Raf (EC 2.7.11.1) (Proto-oncogene A-Raf) (Proto-oncogene A-Raf-1) (Proto-oncogene Pks)	ARAF ARAF1 PKS PKS2	606	ARAF_HUMAN
P31327	Carbamoyl-phosphate synthase [ammonia], mitochondrial (EC 6.3.4.16) (Carbamoyl-phosphate synthetase I) (CPSase I)	CPS1	1500	CPSM_HUMAN
P67870	Casein kinase II subunit beta (CK II beta) (Phosvitin) (Protein G5a)	CSNK2B CK2N G5A	215	CSK2B_HUMAN
Q9UNS2	COP9 signalosome complex subunit 3 (SGN3) (Signalosome subunit 3) (JAB1-containing signalosome subunit 3)	COPS3 CSN3	423	CSN3_HUMAN
Q12805	EGF-containing fibulin-like extracellular matrix protein 1 (Extracellular protein S1-5) (Fibrillin-like protein) (Fibulin-3) (FIBL-3)	EFEMP1 FBLN3 FBNL	493	FBLN3_HUMAN
Q53G59	Kelch-like protein 12 (CUL3-interacting protein 1) (DKIR homolog) (hDKIR)	KLHL12 C3IP1	568	KLH12_HUMAN
P14618	Pyruvate kinase PKM (EC 2.7.1.40) (Cytosolic thyroid hormone-binding protein) (CTHBP) (Opa-interacting protein 3) (OIP-3) (Pyruvate kinase 2/3) (Pyruvate kinase muscle isozyme) (Thyroid hormone-binding protein 1) (THBP1) (Tumor M2-PK) (p58)	PKM OIP3 PK2 PK3 PKM2	531	KPYM_HUMAN
Q02750	Dual specificity mitogen-activated protein kinase kinase 1 (MAP kinase kinase 1) (MAPKK 1) (MKK1) (EC 2.7.12.2) (ERK activator kinase 1) (MAPK/ERK kinase 1) (MEK 1)	MAP2K1 MEK1 PRKMK1	393	MP2K1_HUMAN
P36507	Dual specificity mitogen-activated protein kinase kinase 2 (MAP kinase kinase 2) (MAPKK 2) (EC 2.7.12.2) (ERK activator kinase 2) (MAPK/ERK kinase 2) (MEK 2)	MAP2K2 MEK2 MKK2 PRKMK2	400	MP2K2_HUMAN
Q8IXH7	Negative elongation factor C/D (NELF-C/D) (TH1-like protein)	NELFCD NELFD TH1 TH1L HSPC130	590	NELFD_HUMAN
O95848	Uridine diphosphate glucose pyrophosphatase NUDT14 (UDPG pyrophosphatase) (UGPPase) (EC 3.6.1.45) (Nucleoside diphosphate-linked moiety X motif 14) (Nudix motif 14)	NUDT14 UGPP	222	NUD14_HUMAN
P09619	Platelet-derived growth factor receptor beta (PDGF-R-beta) (PDGFR-beta) (EC 2.7.10.1) (Beta platelet-derived growth factor receptor) (Beta-type platelet-derived growth factor receptor) (CD140 antigen-like family member B) (Platelet-derived growth factor receptor 1) (PDGFR-1) (CD antigen CD140b)	PDGFRB PDGFR PDGFR1	1106	PGFRB_HUMAN
Q9UPE4	Mitochondrial import inner membrane translocase subunit TIM44	hTIM44	415	Q9UPE4_HUMAN
O43615	Mitochondrial import inner membrane translocase subunit TIM44	TIMM44 MIMT44 TIM44	452	TIM44_HUMAN
Q3ZCQ8	Mitochondrial import inner membrane translocase subunit TIM50	TIMM50 TIM50 PRO1512	353	TIM50_HUMAN
Q96KB5	Lymphokine-activated killer T-cell-originated protein kinase (EC 2.7.12.2) (Cancer/testis antigen 84) (CT84) (MAPKK-like protein kinase) (Nori-3) (PDZ-binding kinase) (Spermatogenesis-related protein kinase) (SPK) (T-LAK cell-originated protein kinase)	PBK TOPK	322	TOPK_HUMAN
P17655	Calpain-2 catalytic subunit (EC 3.4.22.53) (Calcium-activated neutral proteinase 2) (CANP 2) (Calpain M-type) (Calpain large polypeptide L2) (Calpain-2 large subunit) (Millimolar-calpain) (M-calpain)	CAPN2 CANPL2	700	CAN2_HUMAN
P41597	C-C chemokine receptor type 2 (C-C CKR-2) (CC-CKR-2) (CCR-2) (CCR2) (Monocyte chemoattractant protein 1 receptor) (MCP-1-R) (CD antigen CD192)	CCR2 CMKBR2	374	CCR2_HUMAN
P51681	C-C chemokine receptor type 5 (C-C CKR-5) (CC-CKR-5) (CCR-5) (CCR5) (CHEMR13) (HIV-1 fusion coreceptor) (CD antigen CD195)	CCR5 CMKBR5	352	CCR5_HUMAN
Q13255	Metabotropic glutamate receptor 1 (mGluR1)	GRM1 GPRC1A MGLUR1	1194	GRM1_HUMAN
P27361	Mitogen-activated protein kinase 3 (MAP kinase 3) (MAPK 3) (EC 2.7.11.24) (ERT2) (Extracellular signal-regulated kinase 1) (ERK-1) (Insulin-stimulated MAP2 kinase) (MAP kinase isoform p44) (p44-MAPK) (Microtubule-associated protein 2 kinase) (p44-ERK1)	MAPK3 ERK1 PRKM3	379	MK03_HUMAN
P48736	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform (PI3-kinase subunit gamma) (PI3K-gamma) (PI3Kgamma) (PtdIns-3-kinase subunit gamma) (EC 2.7.1.153) (Phosphatidylinositol 4,5-bisphosphate 3-kinase 110 kDa catalytic subunit gamma) (PtdIns-3-kinase subunit p110-gamma) (p110gamma) (Phosphoinositide-3-kinase catalytic gamma polypeptide) (Serine/threonine protein kinase PIK3CG) (EC 2.7.11.1) (p120-PI3K)	PIK3CG	1102	PK3CG_HUMAN
P35626	Beta-adrenergic receptor kinase 2 (Beta-ARK-2) (EC 2.7.11.15) (G-protein-coupled receptor kinase 3)	GRK3 ADRBK2 BARK2	688	ARBK2_HUMAN
O15143	Actin-related protein 2/3 complex subunit 1B (Arp2/3 complex 41 kDa subunit) (p41-ARC)	ARPC1B ARC41	372	ARC1B_HUMAN
P61160	Actin-related protein 2 (Actin-like protein 2)	ACTR2 ARP2	394	ARP2_HUMAN
O15144	Actin-related protein 2/3 complex subunit 2 (Arp2/3 complex 34 kDa subunit) (p34-ARC)	ARPC2 ARC34 PRO2446	300	ARPC2_HUMAN
P59998	Actin-related protein 2/3 complex subunit 4 (Arp2/3 complex 20 kDa subunit) (p20-ARC)	ARPC4 ARC20	168	ARPC4_HUMAN
P41227	N-alpha-acetyltransferase 10 (EC 2.3.1.255) (N-terminal acetyltransferase complex ARD1 subunit homolog A) (hARD1) (NatA catalytic subunit Naa10)	NAA10 ARD1 ARD1A TE2	235	NAA10_HUMAN
Q96KQ7	Histone-lysine N-methyltransferase EHMT2 (EC 2.1.1.-) (Euchromatic histone-lysine N-methyltransferase 2) (HLA-B-associated transcript 8) (Histone H3-K9 methyltransferase 3) (H3-K9-HMTase 3) (Lysine N-methyltransferase 1C) (Protein G9a)	EHMT2 BAT8 C6orf30 G9A KMT1C NG36	1210	EHMT2_HUMAN
P36406	E3 ubiquitin-protein ligase TRIM23 (EC 2.3.2.27) (ADP-ribosylation factor domain-containing protein 1) (GTP-binding protein ARD-1) (RING finger protein 46) (RING-type E3 ubiquitin transferase TRIM23) (Tripartite motif-containing protein 23)	TRIM23 ARD1 ARFD1 RNF46	574	TRI23_HUMAN
Q15438	Cytohesin-1 (PH, SEC7 and coiled-coil domain-containing protein 1) (SEC7 homolog B2-1)	CYTH1 D17S811E PSCD1	398	CYH1_HUMAN
Q9UJY4	ADP-ribosylation factor-binding protein GGA2 (Gamma-adaptin-related protein 2) (Golgi-localized, gamma ear-containing, ARF-binding protein 2) (VHS domain and ear domain of gamma-adaptin) (Vear)	GGA2 KIAA1080	613	GGA2_HUMAN
Q14820	Splicing factor 1, isoform CRA_b (ZFM1 protein, alternatively spliced product)	SF1 hCG_23378	80	Q14820_HUMAN
Q8NFF5	FAD synthase (EC 2.7.7.2) (FAD pyrophosphorylase) (FMN adenylyltransferase) (Flavin adenine dinucleotide synthase) [Includes: Molybdenum cofactor biosynthesis protein-like region; FAD synthase region]	FLAD1 PP591	587	FAD1_HUMAN
Q15637	Splicing factor 1 (Mammalian branch point-binding protein) (BBP) (mBBP) (Transcription factor ZFM1) (Zinc finger gene in MEN1 locus) (Zinc finger protein 162)	SF1 ZFM1 ZNF162	639	SF01_HUMAN
P15622	Zinc finger protein 250 (Zinc finger protein 647)	ZNF250 ZNF647	560	ZN250_HUMAN
Q9P0T4	Zinc finger protein 581	ZNF581 HSPC189	197	ZN581_HUMAN
P15514	Amphiregulin (AR) (Colorectum cell-derived growth factor) (CRDGF)	AREG AREGB SDGF	252	AREG_HUMAN
P19544	Wilms tumor protein (WT33)	WT1	449	WT1_HUMAN
P53367	Arfaptin-1 (ADP-ribosylation factor-interacting protein 1)	ARFIP1	373	ARFP1_HUMAN
P53365	Arfaptin-2 (ADP-ribosylation factor-interacting protein 2) (Partner of RAC1) (Protein POR1)	ARFIP2 POR1	341	ARFP2_HUMAN
O14579	Coatomer subunit epsilon (Epsilon-coat protein) (Epsilon-COP)	COPE	308	COPE_HUMAN
Q9ULH1	Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 1 (130 kDa phosphatidylinositol 4,5-bisphosphate-dependent ARF1 GTPase-activating protein) (ADP-ribosylation factor-directed GTPase-activating protein 1) (ARF GTPase-activating protein 1) (Development and differentiation-enhancing factor 1) (DEF-1) (Differentiation-enhancing factor 1) (PIP2-dependent ARF1 GAP)	ASAP1 DDEF1 KIAA1249	1129	ASAP1_HUMAN
Q9NZ52	ADP-ribosylation factor-binding protein GGA3 (Golgi-localized, gamma ear-containing, ARF-binding protein 3)	GGA3 KIAA0154	723	GGA3_HUMAN
O14653	Golgi SNAP receptor complex member 2 (27 kDa Golgi SNARE protein) (Membrin)	GOSR2 GS27	212	GOSR2_HUMAN
Q02241	Kinesin-like protein KIF23 (Kinesin-like protein 5) (Mitotic kinesin-like protein 1)	KIF23 KNSL5 MKLP1	960	KIF23_HUMAN
Q15363	Transmembrane emp24 domain-containing protein 2 (Membrane protein p24A) (p24) (p24 family protein beta-1) (p24beta1)	TMED2 RNP24	201	TMED2_HUMAN
P01374	Lymphotoxin-alpha (LT-alpha) (TNF-beta) (Tumor necrosis factor ligand superfamily member 1)	LTA TNFB TNFSF1	205	TNFB_HUMAN
Q9Y2W2	WW domain-binding protein 11 (WBP-11) (Npw38-binding protein) (NpwBP) (SH3 domain-binding protein SNP70) (Splicing factor that interacts with PQBP-1 and PP1)	WBP11 NPWBP SIPP1 SNP70	641	WBP11_HUMAN
P61204	ADP-ribosylation factor 3	ARF3	181	ARF3_HUMAN
P18085	ADP-ribosylation factor 4	ARF4 ARF2	180	ARF4_HUMAN
O75154	Rab11 family-interacting protein 3 (FIP3-Rab11) (Rab11-FIP3) (Arfophilin-1) (EF hands-containing Rab-interacting protein) (Eferin) (MU-MB-17.148)	RAB11FIP3 ARFO1 KIAA0665	756	RFIP3_HUMAN
P84085	ADP-ribosylation factor 5	ARF5	180	ARF5_HUMAN
P62330	ADP-ribosylation factor 6	ARF6	175	ARF6_HUMAN
O00471	Exocyst complex component 5 (Exocyst complex component Sec10) (hSec10)	EXOC5 SEC10 SEC10L1	708	EXOC5_HUMAN
P21283	V-type proton ATPase subunit C 1 (V-ATPase subunit C 1) (Vacuolar proton pump subunit C 1)	ATP6V1C1 ATP6C ATP6D VATC	382	VATC1_HUMAN
P40616	ADP-ribosylation factor-like protein 1	ARL1	181	ARL1_HUMAN
Q13352	Centromere protein R (CENP-R) (Beta-3-endonexin) (Integrin beta-3-binding protein) (Nuclear receptor-interacting factor 3)	ITGB3BP CENPR NRIF3	177	CENPR_HUMAN
P63000	Ras-related C3 botulinum toxin substrate 1 (EC 3.6.5.2) (Cell migration-inducing gene 5 protein) (Ras-like protein TC25) (p21-Rac1)	RAC1 TC25 MIG5	192	RAC1_HUMAN
Q13795	ADP-ribosylation factor-related protein 1 (ARF-related protein 1) (ARP)	ARFRP1 ARP1	201	ARFRP_HUMAN
Q92888	Rho guanine nucleotide exchange factor 1 (115 kDa guanine nucleotide exchange factor) (p115-RhoGEF) (p115RhoGEF) (Sub1.5)	ARHGEF1	912	ARHG1_HUMAN
Q14344	Guanine nucleotide-binding protein subunit alpha-13 (G alpha-13) (G-protein subunit alpha-13)	GNA13	377	GNA13_HUMAN
Q9NQX3	Gephyrin [Includes: Molybdopterin adenylyltransferase (MPT adenylyltransferase) (EC 2.7.7.75) (Domain G); Molybdopterin molybdenumtransferase (MPT Mo-transferase) (EC 2.10.1.1) (Domain E)]	GPHN GPH KIAA1385	736	GEPH_HUMAN
P04632	Calpain small subunit 1 (CSS1) (Calcium-activated neutral proteinase small subunit) (CANP small subunit) (Calcium-dependent protease small subunit) (CDPS) (Calcium-dependent protease small subunit 1) (Calpain regulatory subunit)	CAPNS1 CAPN4 CAPNS	268	CPNS1_HUMAN
Q9HBI1	Beta-parvin (Affixin)	PARVB CGI-56	364	PARVB_HUMAN
Q13191	E3 ubiquitin-protein ligase CBL-B (EC 2.3.2.27) (Casitas B-lineage lymphoma proto-oncogene b) (RING finger protein 56) (RING-type E3 ubiquitin transferase CBL-B) (SH3-binding protein CBL-B) (Signal transduction protein CBL-B)	CBLB RNF56 Nbla00127	982	CBLB_HUMAN
Q9Y566	SH3 and multiple ankyrin repeat domains protein 1 (Shank1) (Somatostatin receptor-interacting protein) (SSTR-interacting protein) (SSTRIP)	SHANK1	2161	SHAN1_HUMAN
Q9UPX8	SH3 and multiple ankyrin repeat domains protein 2 (Shank2) (Cortactin-binding protein 1) (CortBP1) (Proline-rich synapse-associated protein 1)	SHANK2 CORTBP1 KIAA1022 PROSAP1	1470	SHAN2_HUMAN
Q7Z628	Neuroepithelial cell-transforming gene 1 protein (Proto-oncogene p65 Net1) (Rho guanine nucleotide exchange factor 8)	NET1 ARHGEF8	596	ARHG8_HUMAN
O43307	Rho guanine nucleotide exchange factor 9 (Collybistin) (PEM-2 homolog) (Rac/Cdc42 guanine nucleotide exchange factor 9)	ARHGEF9 ARHDH9 KIAA0424	516	ARHG9_HUMAN
O15085	Rho guanine nucleotide exchange factor 11 (PDZ-RhoGEF)	ARHGEF11 KIAA0380	1522	ARHGB_HUMAN
Q92633	Lysophosphatidic acid receptor 1 (LPA receptor 1) (LPA-1) (Lysophosphatidic acid receptor Edg-2)	LPAR1 EDG2 LPA1	364	LPAR1_HUMAN
Q9HBW0	Lysophosphatidic acid receptor 2 (LPA receptor 2) (LPA-2) (Lysophosphatidic acid receptor Edg-4)	LPAR2 EDG4 LPA2	351	LPAR2_HUMAN
O43157	Plexin-B1 (Semaphorin receptor SEP)	PLXNB1 KIAA0407 PLXN5 SEP	2135	PLXB1_HUMAN
O15031	Plexin-B2 (MM1)	PLXNB2 KIAA0315	1838	PLXB2_HUMAN
Q9ULL4	Plexin-B3	PLXNB3 KIAA1206 PLXN6	1909	PLXB3_HUMAN
P16070	CD44 antigen (CDw44) (Epican) (Extracellular matrix receptor III) (ECMR-III) (GP90 lymphocyte homing/adhesion receptor) (HUTCH-I) (Heparan sulfate proteoglycan) (Hermes antigen) (Hyaluronate receptor) (Phagocytic glycoprotein 1) (PGP-1) (Phagocytic glycoprotein I) (PGP-I) (CD antigen CD44)	CD44 LHR MDU2 MDU3 MIC4	742	CD44_HUMAN
O94989	Rho guanine nucleotide exchange factor 15 (Ephexin-5) (E5) (Vsm-RhoGEF)	ARHGEF15 KIAA0915	841	ARHGF_HUMAN
Q9Y3A3	MOB-like protein phocein (2C4D) (Class II mMOB1) (Mob1 homolog 3) (Mob3) (Mps one binder kinase activator-like 3) (Preimplantation protein 3)	MOB4 MOB3 MOBKL3 PHOCN PREI3 CGI-95	225	PHOCN_HUMAN
Q9H6J7	UPF0705 protein C11orf49	C11orf49	331	CK049_HUMAN
O14497	AT-rich interactive domain-containing protein 1A (ARID domain-containing protein 1A) (B120) (BRG1-associated factor 250) (BAF250) (BRG1-associated factor 250a) (BAF250A) (Osa homolog 1) (hOSA1) (SWI-like protein) (SWI/SNF complex protein p270) (SWI/SNF-related, matrix-associated, actin-dependent regulator of chromatin subfamily F member 1) (hELD)	ARID1A BAF250 BAF250A C1orf4 OSA1 SMARCF1	2285	ARI1A_HUMAN
P51531	Probable global transcription activator SNF2L2 (EC 3.6.4.-) (ATP-dependent helicase SMARCA2) (BRG1-associated factor 190B) (BAF190B) (Protein brahma homolog) (hBRM) (SNF2-alpha) (SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 2)	SMARCA2 BAF190B BRM SNF2A SNF2L2	1590	SMCA2_HUMAN
Q8NFD5	AT-rich interactive domain-containing protein 1B (ARID domain-containing protein 1B) (BRG1-associated factor 250b) (BAF250B) (BRG1-binding protein hELD/OSA1) (Osa homolog 2) (hOsa2) (p250R)	ARID1B BAF250B DAN15 KIAA1235 OSA2	2236	ARI1B_HUMAN
Q9Y4X5	E3 ubiquitin-protein ligase ARIH1 (EC 2.3.2.31) (H7-AP2) (HHARI) (Monocyte protein 6) (MOP-6) (Protein ariadne-1 homolog) (ARI-1) (UbcH7-binding protein) (UbcM4-interacting protein) (Ubiquitin-conjugating enzyme E2-binding protein 1)	ARIH1 ARI MOP6 UBCH7BP HUSSY-27	557	ARI1_HUMAN
P68036	Ubiquitin-conjugating enzyme E2 L3 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme L3) (L-UBC) (UbcH7) (Ubiquitin carrier protein L3) (Ubiquitin-conjugating enzyme E2-F1) (Ubiquitin-protein ligase L3)	UBE2L3 UBCE7 UBCH7	154	UB2L3_HUMAN
O43683	Mitotic checkpoint serine/threonine-protein kinase BUB1 (hBUB1) (EC 2.7.11.1) (BUB1A)	BUB1 BUB1L	1085	BUB1_HUMAN
O75828	Carbonyl reductase [NADPH] 3 (EC 1.1.1.184) (NADPH-dependent carbonyl reductase 3) (Short chain dehydrogenase/reductase family 21C member 2)	CBR3	277	CBR3_HUMAN
Q96P48	Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 1 (Centaurin-delta-2) (Cnt-d2)	ARAP1 CENTD2 KIAA0782	1450	ARAP1_HUMAN
Q9HC35	Echinoderm microtubule-associated protein-like 4 (EMAP-4) (Restrictedly overexpressed proliferation-associated protein) (Ropp 120)	EML4 C2orf2 EMAPL4	981	EMAL4_HUMAN
P24394	Interleukin-4 receptor subunit alpha (IL-4 receptor subunit alpha) (IL-4R subunit alpha) (IL-4R-alpha) (IL-4RA) (CD antigen CD124) [Cleaved into: Soluble interleukin-4 receptor subunit alpha (Soluble IL-4 receptor subunit alpha) (Soluble IL-4R-alpha) (sIL4Ralpha/prot) (IL-4-binding protein) (IL4-BP)]	IL4R IL4RA 582J2.1	825	IL4RA_HUMAN
O43526	Potassium voltage-gated channel subfamily KQT member 2 (KQT-like 2) (Neuroblastoma-specific potassium channel subunit alpha KvLQT2) (Voltage-gated potassium channel subunit Kv7.2)	KCNQ2	872	KCNQ2_HUMAN
P36957	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial (EC 2.3.1.61) (2-oxoglutarate dehydrogenase complex component E2) (OGDC-E2) (Dihydrolipoamide succinyltransferase component of 2-oxoglutarate dehydrogenase complex) (E2K)	DLST DLTS	453	ODO2_HUMAN
O43768	Alpha-endosulfine (ARPP-19e)	ENSA	121	ENSA_HUMAN
Q6IBK3	Secretory carrier-associated membrane protein (Secretory carrier membrane protein)	SCAMP2	329	Q6IBK3_HUMAN
Q86TQ8	Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex (EC 2.3.1.-) (Fragment)	DLST hCG_22359	307	Q86TQ8_HUMAN
Q8NB89	cDNA FLJ34068 fis, clone FCBBF3001918, highly similar to SERINE/THREONINE PROTEIN PHOSPHATASE 2A, 65 kDa REGULATORY SUBUNIT A, ALPHA ISOFORM		509	Q8NB89_HUMAN
Q96HE3	EML4 protein		62	Q96HE3_HUMAN
P62917	60S ribosomal protein L8 (Large ribosomal subunit protein uL2)	RPL8	257	RL8_HUMAN
O15127	Secretory carrier-associated membrane protein 2 (Secretory carrier membrane protein 2)	SCAMP2	329	SCAM2_HUMAN
O43556	Epsilon-sarcoglycan (Epsilon-SG)	SGCE ESG UNQ433/PRO840	437	SGCE_HUMAN
A4D1P6	WD repeat-containing protein 91	WDR91 HSPC049	747	WDR91_HUMAN
Q99856	AT-rich interactive domain-containing protein 3A (ARID domain-containing protein 3A) (B-cell regulator of IgH transcription) (Bright) (Dead ringer-like protein 1) (E2F-binding protein 1)	ARID3A DRIL1 DRIL3 DRX E2FBP1	593	ARI3A_HUMAN
Q13342	Nuclear body protein SP140 (Lymphoid-restricted homolog of Sp100) (LYSp100) (Nuclear autoantigen Sp-140) (Speckled 140 kDa)	SP140 LYSP100	867	SP140_HUMAN
P23497	Nuclear autoantigen Sp-100 (Nuclear dot-associated Sp100 protein) (Speckled 100 kDa)	SP100	879	SP100_HUMAN
P29374	AT-rich interactive domain-containing protein 4A (ARID domain-containing protein 4A) (Retinoblastoma-binding protein 1) (RBBP-1)	ARID4A RBBP1 RBP1	1257	ARI4A_HUMAN
Q9HCU9	Breast cancer metastasis-suppressor 1	BRMS1	246	BRMS1_HUMAN
Q92769	Histone deacetylase 2 (HD2) (EC 3.5.1.98)	HDAC2	488	HDAC2_HUMAN
O15379	Histone deacetylase 3 (HD3) (EC 3.5.1.98) (RPD3-2) (SMAP45)	HDAC3	428	HDAC3_HUMAN
Q68CP9	AT-rich interactive domain-containing protein 2 (ARID domain-containing protein 2) (BRG1-associated factor 200) (BAF200) (Zinc finger protein with activation potential) (Zipzap/p200)	ARID2 BAF200 KIAA1557	1835	ARID2_HUMAN
Q86U86	Protein polybromo-1 (hPB1) (BRG1-associated factor 180) (BAF180) (Polybromo-1D)	PBRM1 BAF180 PB1	1689	PB1_HUMAN
O43488	Aflatoxin B1 aldehyde reductase member 2 (EC 1.1.1.n11) (AFB1 aldehyde reductase 1) (AFB1-AR 1) (Aldoketoreductase 7) (Succinic semialdehyde reductase) (SSA reductase)	AKR7A2 AFAR AFAR1 AKR7	359	ARK72_HUMAN
O95154	Aflatoxin B1 aldehyde reductase member 3 (EC 1.-.-.-) (AFB1 aldehyde reductase 2) (AFB1-AR 2)	AKR7A3 AFAR2	331	ARK73_HUMAN
Q969Q4	ADP-ribosylation factor-like protein 11 (ADP-ribosylation factor-like tumor suppressor protein 1)	ARL11 ARLTS1	196	ARL11_HUMAN
O60512	Beta-1,4-galactosyltransferase 3 (Beta-1,4-GalTase 3) (Beta4Gal-T3) (b4Gal-T3) (EC 2.4.1.-) (Beta-N-acetylglucosaminyl-glycolipid beta-1,4-galactosyltransferase) (Beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase) (EC 2.4.1.38) (N-acetyllactosamine synthase) (EC 2.4.1.90) (Nal synthase) (Neolactotriaosylceramide beta-1,4-galactosyltransferase) (EC 2.4.1.275) (UDP-Gal:beta-GlcNAc beta-1,4-galactosyltransferase 3) (UDP-galactose:beta-N-acetylglucosamine beta-1,4-galactosyltransferase 3)	B4GALT3	393	B4GT3_HUMAN
Q4V328	GRIP1-associated protein 1 (GRASP-1) [Cleaved into: GRASP-1 C-terminal chain (30kDa C-terminus form)]	GRIPAP1 KIAA1167	841	GRAP1_HUMAN
O43924	Retinal rod rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit delta (GMP-PDE delta) (Protein p17)	PDE6D PDED	150	PDE6D_HUMAN
Q9BWH2	FUN14 domain-containing protein 2 (Cervical cancer proto-oncogene 3 protein) (HCC-3) (Hepatitis C virus core-binding protein 6)	FUNDC2 HCBP6 DC44 HCC3 PD03104	189	FUND2_HUMAN
Q92734	Protein TFG (TRK-fused gene protein)	TFG	400	TFG_HUMAN
Q9UBF2	Coatomer subunit gamma-2 (Gamma-2-coat protein) (Gamma-2-COP)	COPG2	871	COPG2_HUMAN
Q8IWJ2	GRIP and coiled-coil domain-containing protein 2 (185 kDa Golgi coiled-coil protein) (GCC185) (CLL-associated antigen KW-11) (CTCL tumor antigen se1-1) (Ran-binding protein 2-like 4) (RanBP2L4) (Renal carcinoma antigen NY-REN-53)	GCC2 KIAA0336 RANBP2L4	1684	GCC2_HUMAN
Q92805	Golgin subfamily A member 1 (Golgin-97)	GOLGA1	767	GOGA1_HUMAN
Q9UIL1	Short coiled-coil protein	SCOC SCOCO HRIHFB2072	159	SCOC_HUMAN
O14715	RANBP2-like and GRIP domain-containing protein 8 (Ran-binding protein 2-like 3) (RanBP2-like 3) (RanBP2L3)	RGPD8 RANBP2ALPHA RANBP2L1 RANBP2L3	1765	RGPD8_HUMAN
P36404	ADP-ribosylation factor-like protein 2	ARL2	184	ARL2_HUMAN
Q9Y2Y0	ADP-ribosylation factor-like protein 2-binding protein (ARF-like 2-binding protein) (ARL2-binding protein) (Binder of ARF2 protein 1)	ARL2BP BART BART1	163	AR2BP_HUMAN
