Entry	Entry name	Status	Protein names	Gene names	Organism	Length
O15392	BIRC5_HUMAN	reviewed	Baculoviral IAP repeat-containing protein 5 (Apoptosis inhibitor 4) (Apoptosis inhibitor survivin)	BIRC5 API4 IAP4	Homo sapiens (Human)	142
Q9NR09	BIRC6_HUMAN	reviewed	Baculoviral IAP repeat-containing protein 6 (EC 2.3.2.27) (BIR repeat-containing ubiquitin-conjugating enzyme) (BRUCE) (RING-type E3 ubiquitin transferase BIRC6) (Ubiquitin-conjugating BIR domain enzyme apollon) (APOLLON)	BIRC6 KIAA1289	Homo sapiens (Human)	4857
Q96CA5	BIRC7_HUMAN	reviewed	Baculoviral IAP repeat-containing protein 7 (EC 2.3.2.27) (Kidney inhibitor of apoptosis protein) (KIAP) (Livin) (Melanoma inhibitor of apoptosis protein) (ML-IAP) (RING finger protein 50) (RING-type E3 ubiquitin transferase BIRC7) [Cleaved into: Baculoviral IAP repeat-containing protein 7 30kDa subunit (Truncated livin) (p30-Livin) (tLivin)]	BIRC7 KIAP LIVIN MLIAP RNF50 UNQ5800/PRO19607/PRO21344	Homo sapiens (Human)	298
P46663	BKRB1_HUMAN	reviewed	B1 bradykinin receptor (B1R) (BK-1 receptor)	BDKRB1 BRADYB1	Homo sapiens (Human)	353
P30411	BKRB2_HUMAN	reviewed	B2 bradykinin receptor (B2R) (BK-2 receptor)	BDKRB2 BKR2	Homo sapiens (Human)	391
P78537	BL1S1_HUMAN	reviewed	Biogenesis of lysosome-related organelles complex 1 subunit 1 (BLOC-1 subunit 1) (GCN5-like protein 1) (Protein RT14)	BLOC1S1 BLOS1 GCN5L1 RT14	Homo sapiens (Human)	153
Q6QNY1	BL1S2_HUMAN	reviewed	Biogenesis of lysosome-related organelles complex 1 subunit 2 (BLOC-1 subunit 2) (Centrosome-associated protein)	BLOC1S2 BLOS2 CEAP	Homo sapiens (Human)	142
Q6QNY0	BL1S3_HUMAN	reviewed	Biogenesis of lysosome-related organelles complex 1 subunit 3 (BLOC-1 subunit 3)	BLOC1S3 BLOS3	Homo sapiens (Human)	202
P51451	BLK_HUMAN	reviewed	Tyrosine-protein kinase Blk (EC 2.7.10.2) (B lymphocyte kinase) (p55-Blk)	BLK	Homo sapiens (Human)	505
Q13867	BLMH_HUMAN	reviewed	Bleomycin hydrolase (BH) (BLM hydrolase) (BMH) (EC 3.4.22.40)	BLMH	Homo sapiens (Human)	455
P54132	BLM_HUMAN	reviewed	Bloom syndrome protein (EC 3.6.4.12) (DNA helicase, RecQ-like type 2) (RecQ2) (RecQ protein-like 3)	BLM RECQ2 RECQL3	Homo sapiens (Human)	1417
Q8WV28	BLNK_HUMAN	reviewed	B-cell linker protein (B-cell adapter containing a SH2 domain protein) (B-cell adapter containing a Src homology 2 domain protein) (Cytoplasmic adapter protein) (Src homology 2 domain-containing leukocyte protein of 65 kDa) (SLP-65)	BLNK BASH SLP65	Homo sapiens (Human)	456
O00327	BMAL1_HUMAN	reviewed	Aryl hydrocarbon receptor nuclear translocator-like protein 1 (Basic-helix-loop-helix-PAS protein MOP3) (Brain and muscle ARNT-like 1) (Class E basic helix-loop-helix protein 5) (bHLHe5) (Member of PAS protein 3) (PAS domain-containing protein 3) (bHLH-PAS protein JAP3)	ARNTL BHLHE5 BMAL1 MOP3 PASD3	Homo sapiens (Human)	626
Q96LC9	BMF_HUMAN	reviewed	Bcl-2-modifying factor	BMF	Homo sapiens (Human)	184
P13497	BMP1_HUMAN	reviewed	Bone morphogenetic protein 1 (BMP-1) (EC 3.4.24.19) (Mammalian tolloid protein) (mTld) (Procollagen C-proteinase) (PCP)	BMP1 PCOLC	Homo sapiens (Human)	986
P12643	BMP2_HUMAN	reviewed	Bone morphogenetic protein 2 (BMP-2) (Bone morphogenetic protein 2A) (BMP-2A)	BMP2 BMP2A	Homo sapiens (Human)	396
P12644	BMP4_HUMAN	reviewed	Bone morphogenetic protein 4 (BMP-4) (Bone morphogenetic protein 2B) (BMP-2B)	BMP4 BMP2B DVR4	Homo sapiens (Human)	408
P22003	BMP5_HUMAN	reviewed	Bone morphogenetic protein 5 (BMP-5)	BMP5	Homo sapiens (Human)	454
P22004	BMP6_HUMAN	reviewed	Bone morphogenetic protein 6 (BMP-6) (VG-1-related protein) (VG-1-R) (VGR-1)	BMP6 VGR	Homo sapiens (Human)	513
P18075	BMP7_HUMAN	reviewed	Bone morphogenetic protein 7 (BMP-7) (Osteogenic protein 1) (OP-1) (Eptotermin alfa)	BMP7 OP1	Homo sapiens (Human)	431
Q13873	BMPR2_HUMAN	reviewed	Bone morphogenetic protein receptor type-2 (BMP type-2 receptor) (BMPR-2) (EC 2.7.11.30) (Bone morphogenetic protein receptor type II) (BMP type II receptor) (BMPR-II)	BMPR2 PPH1	Homo sapiens (Human)	1038
P36894	BMR1A_HUMAN	reviewed	Bone morphogenetic protein receptor type-1A (BMP type-1A receptor) (BMPR-1A) (EC 2.7.11.30) (Activin receptor-like kinase 3) (ALK-3) (Serine/threonine-protein kinase receptor R5) (SKR5) (CD antigen CD292)	BMPR1A ACVRLK3 ALK3	Homo sapiens (Human)	532
O00238	BMR1B_HUMAN	reviewed	Bone morphogenetic protein receptor type-1B (BMP type-1B receptor) (BMPR-1B) (EC 2.7.11.30) (CD antigen CDw293)	BMPR1B	Homo sapiens (Human)	502
P51813	BMX_HUMAN	reviewed	Cytoplasmic tyrosine-protein kinase BMX (EC 2.7.10.2) (Bone marrow tyrosine kinase gene in chromosome X protein) (Epithelial and endothelial tyrosine kinase) (ETK) (NTK38)	BMX	Homo sapiens (Human)	675
O60238	BNI3L_HUMAN	reviewed	BCL2/adenovirus E1B 19 kDa protein-interacting protein 3-like (Adenovirus E1B19K-binding protein B5) (BCL2/adenovirus E1B 19 kDa protein-interacting protein 3A) (NIP3-like protein X) (NIP3L)	BNIP3L BNIP3A BNIP3H NIX	Homo sapiens (Human)	219
Q12982	BNIP2_HUMAN	reviewed	BCL2/adenovirus E1B 19 kDa protein-interacting protein 2	BNIP2 NIP2	Homo sapiens (Human)	314
Q12983	BNIP3_HUMAN	reviewed	BCL2/adenovirus E1B 19 kDa protein-interacting protein 3	BNIP3 NIP3	Homo sapiens (Human)	259
Q7Z465	BNIPL_HUMAN	reviewed	Bcl-2/adenovirus E1B 19 kDa-interacting protein 2-like protein	BNIPL	Homo sapiens (Human)	357
Q9BWV1	BOC_HUMAN	reviewed	Brother of CDO (Protein BOC)	BOC UNQ604/PRO1190	Homo sapiens (Human)	1114
Q9UMX3	BOK_HUMAN	reviewed	Bcl-2-related ovarian killer protein (hBOK) (Bcl-2-like protein 9) (Bcl2-L-9)	BOK BCL2L9	Homo sapiens (Human)	212
Q6PGQ7	BORA_HUMAN	reviewed	Protein aurora borealis (HsBora)	BORA C13orf34	Homo sapiens (Human)	559
Q53HL2	BOREA_HUMAN	reviewed	Borealin (Cell division cycle-associated protein 8) (Dasra-B) (hDasra-B) (Pluripotent embryonic stem cell-related gene 3 protein)	CDCA8 PESCRG3	Homo sapiens (Human)	280
Q9H3Q1	BORG4_HUMAN	reviewed	Cdc42 effector protein 4 (Binder of Rho GTPases 4)	CDC42EP4 BORG4 CEP4	Homo sapiens (Human)	356
Q00587	BORG5_HUMAN	reviewed	Cdc42 effector protein 1 (Binder of Rho GTPases 5) (Serum protein MSE55)	CDC42EP1 BORG5 CEP1 MSE55	Homo sapiens (Human)	391
Q03001	DYST_HUMAN	reviewed	Dystonin (230 kDa bullous pemphigoid antigen) (230/240 kDa bullous pemphigoid antigen) (Bullous pemphigoid antigen 1) (BPA) (Bullous pemphigoid antigen) (Dystonia musculorum protein) (Hemidesmosomal plaque protein)	DST BP230 BP240 BPAG1 DMH DT KIAA0728	Homo sapiens (Human)	7570
Q12830	BPTF_HUMAN	reviewed	Nucleosome-remodeling factor subunit BPTF (Bromodomain and PHD finger-containing transcription factor) (Fetal Alz-50 clone 1 protein) (Fetal Alzheimer antigen)	BPTF FAC1 FALZ	Homo sapiens (Human)	3046
O95563	MPC2_HUMAN	reviewed	Mitochondrial pyruvate carrier 2 (Brain protein 44)	MPC2 BRP44	Homo sapiens (Human)	127
Q9Y5U8	MPC1_HUMAN	reviewed	Mitochondrial pyruvate carrier 1 (Brain protein 44-like protein)	MPC1 BRP44L CGI-129 HSPC040 PNAS-115	Homo sapiens (Human)	109
P15056	BRAF_HUMAN	reviewed	Serine/threonine-protein kinase B-raf (EC 2.7.11.1) (Proto-oncogene B-Raf) (p94) (v-Raf murine sarcoma viral oncogene homolog B1)	BRAF BRAF1 RAFB1	Homo sapiens (Human)	766
Q7Z569	BRAP_HUMAN	reviewed	BRCA1-associated protein (EC 2.3.2.27) (BRAP2) (Impedes mitogenic signal propagation) (IMP) (RING finger protein 52) (RING-type E3 ubiquitin transferase BRAP2) (Renal carcinoma antigen NY-REN-63)	BRAP RNF52	Homo sapiens (Human)	592
P38398	BRCA1_HUMAN	reviewed	Breast cancer type 1 susceptibility protein (EC 2.3.2.27) (RING finger protein 53) (RING-type E3 ubiquitin transferase BRCA1)	BRCA1 RNF53	Homo sapiens (Human)	1863
P51587	BRCA2_HUMAN	reviewed	Breast cancer type 2 susceptibility protein (Fanconi anemia group D1 protein)	BRCA2 FACD FANCD1	Homo sapiens (Human)	3418
P46736	BRCC3_HUMAN	reviewed	Lys-63-specific deubiquitinase BRCC36 (EC 3.4.19.-) (BRCA1-A complex subunit BRCC36) (BRCA1/BRCA2-containing complex subunit 3) (BRCA1/BRCA2-containing complex subunit 36) (BRISC complex subunit BRCC36)	BRCC3 BRCC36 C6.1A CXorf53	Homo sapiens (Human)	316
O95696	BRD1_HUMAN	reviewed	Bromodomain-containing protein 1 (BR140-like protein) (Bromodomain and PHD finger-containing protein 2)	BRD1 BRL BRPF2	Homo sapiens (Human)	1058
O60885	BRD4_HUMAN	reviewed	Bromodomain-containing protein 4 (Protein HUNK1)	BRD4 HUNK1	Homo sapiens (Human)	1362
Q9NPI1	BRD7_HUMAN	reviewed	Bromodomain-containing protein 7 (75 kDa bromodomain protein) (Protein CELTIX-1)	BRD7 BP75 CELTIX1	Homo sapiens (Human)	651
Q9H0E9	BRD8_HUMAN	reviewed	Bromodomain-containing protein 8 (Skeletal muscle abundant protein) (Skeletal muscle abundant protein 2) (Thyroid hormone receptor coactivating protein of 120 kDa) (TrCP120) (p120)	BRD8 SMAP SMAP2	Homo sapiens (Human)	1235
O75150	BRE1B_HUMAN	reviewed	E3 ubiquitin-protein ligase BRE1B (BRE1-B) (EC 2.3.2.27) (95 kDa retinoblastoma-associated protein) (RBP95) (RING finger protein 40) (RING-type E3 ubiquitin transferase BRE1B)	RNF40 BRE1B KIAA0661	Homo sapiens (Human)	1001
Q9NXR7	BABA2_HUMAN	reviewed	BRISC and BRCA1-A complex member 2 (BRCA1-A complex subunit BRE) (BRCA1/BRCA2-containing complex subunit 45) (Brain and reproductive organ-expressed protein)	BABAM2 BRCC45 BRE	Homo sapiens (Human)	383
Q9HCU9	BRMS1_HUMAN	reviewed	Breast cancer metastasis-suppressor 1	BRMS1	Homo sapiens (Human)	246
Q8TDC3	BRSK1_HUMAN	reviewed	Serine/threonine-protein kinase BRSK1 (EC 2.7.11.1) (Brain-selective kinase 1) (EC 2.7.11.26) (Brain-specific serine/threonine-protein kinase 1) (BR serine/threonine-protein kinase 1) (Serine/threonine-protein kinase SAD-B) (Synapses of Amphids Defective homolog 1) (SAD1 homolog) (hSAD1)	BRSK1 KIAA1811 SAD1 SADB	Homo sapiens (Human)	778
Q8IWQ3	BRSK2_HUMAN	reviewed	Serine/threonine-protein kinase BRSK2 (EC 2.7.11.1) (Brain-selective kinase 2) (EC 2.7.11.26) (Brain-specific serine/threonine-protein kinase 2) (BR serine/threonine-protein kinase 2) (Serine/threonine-protein kinase 29) (Serine/threonine-protein kinase SAD-A)	BRSK2 C11orf7 PEN11B SADA STK29 HUSSY-12	Homo sapiens (Human)	736
Q96G97	BSCL2_HUMAN	reviewed	Seipin (Bernardinelli-Seip congenital lipodystrophy type 2 protein)	BSCL2	Homo sapiens (Human)	398
O14981	BTAF1_HUMAN	reviewed	TATA-binding protein-associated factor 172 (EC 3.6.4.-) (ATP-dependent helicase BTAF1) (B-TFIID transcription factor-associated 170 kDa subunit) (TAF(II)170) (TBP-associated factor 172) (TAF-172)	BTAF1 TAF172	Homo sapiens (Human)	1849
Q9H0C5	BTBD1_HUMAN	reviewed	BTB/POZ domain-containing protein 1 (Hepatitis C virus NS5A-transactivated protein 8) (HCV NS5A-transactivated protein 8)	BTBD1 C15orf1 NS5ATP8	Homo sapiens (Human)	482
Q9BX70	BTBD2_HUMAN	reviewed	BTB/POZ domain-containing protein 2	BTBD2	Homo sapiens (Human)	525
Q9Y2F9	BTBD3_HUMAN	reviewed	BTB/POZ domain-containing protein 3	BTBD3 KIAA0952	Homo sapiens (Human)	522
Q9BSF8	BTBDA_HUMAN	reviewed	BTB/POZ domain-containing protein 10 (Glucose metabolism-related protein 1)	BTBD10 GMRP1	Homo sapiens (Human)	475
P35070	BTC_HUMAN	reviewed	Probetacellulin [Cleaved into: Betacellulin (BTC)]	BTC	Homo sapiens (Human)	178
P20290	BTF3_HUMAN	reviewed	Transcription factor BTF3 (Nascent polypeptide-associated complex subunit beta) (NAC-beta) (RNA polymerase B transcription factor 3)	BTF3 NACB OK/SW-cl.8	Homo sapiens (Human)	206
P62324	BTG1_HUMAN	reviewed	Protein BTG1 (B-cell translocation gene 1 protein)	BTG1	Homo sapiens (Human)	171
P78543	BTG2_HUMAN	reviewed	Protein BTG2 (BTG family member 2) (NGF-inducible anti-proliferative protein PC3)	BTG2 PC3	Homo sapiens (Human)	158
Q06187	BTK_HUMAN	reviewed	Tyrosine-protein kinase BTK (EC 2.7.10.2) (Agammaglobulinemia tyrosine kinase) (ATK) (B-cell progenitor kinase) (BPK) (Bruton tyrosine kinase)	BTK AGMX1 ATK BPK	Homo sapiens (Human)	659
Q7Z6A9	BTLA_HUMAN	reviewed	B- and T-lymphocyte attenuator (B- and T-lymphocyte-associated protein) (CD antigen CD272)	BTLA	Homo sapiens (Human)	289
O60566	BUB1B_HUMAN	reviewed	Mitotic checkpoint serine/threonine-protein kinase BUB1 beta (EC 2.7.11.1) (MAD3/BUB1-related protein kinase) (hBUBR1) (Mitotic checkpoint kinase MAD3L) (Protein SSK1)	BUB1B BUBR1 MAD3L SSK1	Homo sapiens (Human)	1050
O43683	BUB1_HUMAN	reviewed	Mitotic checkpoint serine/threonine-protein kinase BUB1 (hBUB1) (EC 2.7.11.1) (BUB1A)	BUB1 BUB1L	Homo sapiens (Human)	1085
O43684	BUB3_HUMAN	reviewed	Mitotic checkpoint protein BUB3	BUB3	Homo sapiens (Human)	328
Q8TDN6	BRX1_HUMAN	reviewed	Ribosome biogenesis protein BRX1 homolog (Brix domain-containing protein 2)	BRIX1 BRIX BXDC2	Homo sapiens (Human)	353
Q13895	BYST_HUMAN	reviewed	Bystin	BYSL ENP1	Homo sapiens (Human)	437
Q9NWR8	MCUB_HUMAN	reviewed	Calcium uniporter regulatory subunit MCUb, mitochondrial (MCUb) (Coiled-coil domain-containing protein 109B)	MCUB CCDC109B	Homo sapiens (Human)	336
Q86VB7	C163A_HUMAN	reviewed	Scavenger receptor cysteine-rich type 1 protein M130 (Hemoglobin scavenger receptor) (CD antigen CD163) [Cleaved into: Soluble CD163 (sCD163)]	CD163 M130	Homo sapiens (Human)	1156
P02745	C1QA_HUMAN	reviewed	Complement C1q subcomponent subunit A	C1QA	Homo sapiens (Human)	245
Q07021	C1QBP_HUMAN	reviewed	Complement component 1 Q subcomponent-binding protein, mitochondrial (ASF/SF2-associated protein p32) (Glycoprotein gC1qBP) (C1qBP) (Hyaluronan-binding protein 1) (Mitochondrial matrix protein p32) (gC1q-R protein) (p33) (SF2AP32)	C1QBP GC1QBP HABP1 SF2P32	Homo sapiens (Human)	282
Q9BXJ1	C1QT1_HUMAN	reviewed	Complement C1q tumor necrosis factor-related protein 1 (G protein-coupled receptor-interacting protein) (GIP)	C1QTNF1 CTRP1 UNQ310/PRO353	Homo sapiens (Human)	281
Q9BXJ0	C1QT5_HUMAN	reviewed	Complement C1q tumor necrosis factor-related protein 5	C1QTNF5 CTRP5 UNQ303/PRO344	Homo sapiens (Human)	243
P00736	C1R_HUMAN	reviewed	Complement C1r subcomponent (EC 3.4.21.41) (Complement component 1 subcomponent r) [Cleaved into: Complement C1r subcomponent heavy chain; Complement C1r subcomponent light chain]	C1R	Homo sapiens (Human)	705
P33076	C2TA_HUMAN	reviewed	MHC class II transactivator (CIITA) (EC 2.3.1.-) (EC 2.7.11.1)	CIITA MHC2TA	Homo sapiens (Human)	1130
Q9Y5P4	CERT_HUMAN	reviewed	Ceramide transfer protein (hCERT) (Collagen type IV alpha-3-binding protein) (Goodpasture antigen-binding protein) (GPBP) (START domain-containing protein 11) (StARD11) (StAR-related lipid transfer protein 11)	CERT1 CERT COL4A3BP STARD11	Homo sapiens (Human)	624
O14569	C56D2_HUMAN	reviewed	Cytochrome b561 domain-containing protein 2 (EC 7.2.1.3) (Putative tumor suppressor protein 101F6) (Transmembrane ascorbate ferrireductase)	CYB561D2 101F6 LUCA12.2	Homo sapiens (Human)	222
P21730	C5AR1_HUMAN	reviewed	C5a anaphylatoxin chemotactic receptor 1 (C5a anaphylatoxin chemotactic receptor) (C5a-R) (C5aR) (CD antigen CD88)	C5AR1 C5AR C5R1	Homo sapiens (Human)	350
Q9UKL3	C8AP2_HUMAN	reviewed	CASP8-associated protein 2 (FLICE-associated huge protein)	CASP8AP2 FLASH KIAA1315 RIP25	Homo sapiens (Human)	1982
Q8N715	CC185_HUMAN	reviewed	Coiled-coil domain-containing protein 185	CCDC185 C1orf65	Homo sapiens (Human)	623
Q5T3J3	LRIF1_HUMAN	reviewed	Ligand-dependent nuclear receptor-interacting factor 1 (HP1-binding protein enriched in inactive X chromosome protein 1) (HBiX1) (Receptor-interacting factor 1)	LRIF1 C1orf103 RIF1	Homo sapiens (Human)	769
Q9GZP4	PITH1_HUMAN	reviewed	PITH domain-containing protein 1	PITHD1 C1orf128 AD039 HT014 PP603	Homo sapiens (Human)	211
Q9HAF1	EAF6_HUMAN	reviewed	Chromatin modification-related protein MEAF6 (MYST/Esa1-associated factor 6) (Esa1-associated factor 6 homolog) (Protein EAF6 homolog) (hEAF6) (Sarcoma antigen NY-SAR-91)	MEAF6 C1orf149 CENP-28 EAF6	Homo sapiens (Human)	191
Q8IYL3	CA174_HUMAN	reviewed	UPF0688 protein C1orf174	C1orf174	Homo sapiens (Human)	243
Q9Y376	CAB39_HUMAN	reviewed	Calcium-binding protein 39 (MO25alpha) (Protein Mo25)	CAB39 MO25 CGI-66	Homo sapiens (Human)	341
Q9BRK5	CAB45_HUMAN	reviewed	45 kDa calcium-binding protein (Cab45) (Stromal cell-derived factor 4) (SDF-4)	SDF4 CAB45 PSEC0034	Homo sapiens (Human)	362
Q8NI60	COQ8A_HUMAN	reviewed	Atypical kinase COQ8A, mitochondrial (EC 2.7.-.-) (Chaperone activity of bc1 complex-like) (Chaperone-ABC1-like) (Coenzyme Q protein 8A) (aarF domain-containing protein kinase 3)	COQ8A ADCK3 CABC1 PP265	Homo sapiens (Human)	647
Q9Y6J0	CABIN_HUMAN	reviewed	Calcineurin-binding protein cabin-1 (Calcineurin inhibitor) (CAIN)	CABIN1 KIAA0330	Homo sapiens (Human)	2220
Q8TDN4	CABL1_HUMAN	reviewed	CDK5 and ABL1 enzyme substrate 1 (Interactor with CDK3 1) (Ik3-1)	CABLES1 CABLES	Homo sapiens (Human)	633
Q9NZU7	CABP1_HUMAN	reviewed	Calcium-binding protein 1 (CaBP1) (Calbrain) (Caldendrin)	CABP1	Homo sapiens (Human)	370
Q9NPB3	CABP2_HUMAN	reviewed	Calcium-binding protein 2 (CaBP2)	CABP2	Homo sapiens (Human)	220
O00555	CAC1A_HUMAN	reviewed	Voltage-dependent P/Q-type calcium channel subunit alpha-1A (Brain calcium channel I) (BI) (Calcium channel, L type, alpha-1 polypeptide isoform 4) (Voltage-gated calcium channel subunit alpha Cav2.1)	CACNA1A CACH4 CACN3 CACNL1A4	Homo sapiens (Human)	2506
Q00975	CAC1B_HUMAN	reviewed	Voltage-dependent N-type calcium channel subunit alpha-1B (Brain calcium channel III) (BIII) (Calcium channel, L type, alpha-1 polypeptide isoform 5) (Voltage-gated calcium channel subunit alpha Cav2.2)	CACNA1B CACH5 CACNL1A5	Homo sapiens (Human)	2339
Q13936	CAC1C_HUMAN	reviewed	Voltage-dependent L-type calcium channel subunit alpha-1C (Calcium channel, L type, alpha-1 polypeptide, isoform 1, cardiac muscle) (Voltage-gated calcium channel subunit alpha Cav1.2)	CACNA1C CACH2 CACN2 CACNL1A1 CCHL1A1	Homo sapiens (Human)	2221
Q02641	CACB1_HUMAN	reviewed	Voltage-dependent L-type calcium channel subunit beta-1 (CAB1) (Calcium channel voltage-dependent subunit beta 1)	CACNB1 CACNLB1	Homo sapiens (Human)	598
Q08289	CACB2_HUMAN	reviewed	Voltage-dependent L-type calcium channel subunit beta-2 (CAB2) (Calcium channel voltage-dependent subunit beta 2) (Lambert-Eaton myasthenic syndrome antigen B) (MYSB)	CACNB2 CACNLB2 MYSB	Homo sapiens (Human)	660
P54284	CACB3_HUMAN	reviewed	Voltage-dependent L-type calcium channel subunit beta-3 (CAB3) (Calcium channel voltage-dependent subunit beta 3)	CACNB3 CACNLB3	Homo sapiens (Human)	484
O00305	CACB4_HUMAN	reviewed	Voltage-dependent L-type calcium channel subunit beta-4 (CAB4) (Calcium channel voltage-dependent subunit beta 4)	CACNB4 CACNLB4	Homo sapiens (Human)	520
Q9P1Z2	CACO1_HUMAN	reviewed	Calcium-binding and coiled-coil domain-containing protein 1 (Calphoglin) (Coiled-coil coactivator protein) (Sarcoma antigen NY-SAR-3)	CALCOCO1 KIAA1536 PP13275 UNQ2436/PRO4996	Homo sapiens (Human)	691
Q9Y6N8	CAD10_HUMAN	reviewed	Cadherin-10 (T2-cadherin)	CDH10	Homo sapiens (Human)	788
P55289	CAD12_HUMAN	reviewed	Cadherin-12 (Brain cadherin) (BR-cadherin) (Neural type cadherin 2) (N-cadherin 2)	CDH12	Homo sapiens (Human)	794
P55290	CAD13_HUMAN	reviewed	Cadherin-13 (Heart cadherin) (H-cadherin) (P105) (Truncated cadherin) (T-cad) (T-cadherin)	CDH13 CDHH	Homo sapiens (Human)	713
P55291	CAD15_HUMAN	reviewed	Cadherin-15 (Cadherin-14) (Muscle cadherin) (M-cadherin)	CDH15 CDH14 CDH3	Homo sapiens (Human)	814
Q13634	CAD18_HUMAN	reviewed	Cadherin-18 (Cadherin-14)	CDH18 CDH14	Homo sapiens (Human)	790
Q9H251	CAD23_HUMAN	reviewed	Cadherin-23 (Otocadherin)	CDH23 KIAA1774 KIAA1812 UNQ1894/PRO4340	Homo sapiens (Human)	3354
P12830	CADH1_HUMAN	reviewed	Cadherin-1 (CAM 120/80) (Epithelial cadherin) (E-cadherin) (Uvomorulin) (CD antigen CD324) [Cleaved into: E-Cad/CTF1; E-Cad/CTF2; E-Cad/CTF3]	CDH1 CDHE UVO	Homo sapiens (Human)	882
P19022	CADH2_HUMAN	reviewed	Cadherin-2 (CDw325) (Neural cadherin) (N-cadherin) (CD antigen CD325)	CDH2 CDHN NCAD	Homo sapiens (Human)	906
P22223	CADH3_HUMAN	reviewed	Cadherin-3 (Placental cadherin) (P-cadherin)	CDH3 CDHP	Homo sapiens (Human)	829
P33151	CADH5_HUMAN	reviewed	Cadherin-5 (7B4 antigen) (Vascular endothelial cadherin) (VE-cadherin) (CD antigen CD144)	CDH5	Homo sapiens (Human)	784
Q9BY67	CADM1_HUMAN	reviewed	Cell adhesion molecule 1 (Immunoglobulin superfamily member 4) (IgSF4) (Nectin-like protein 2) (NECL-2) (Spermatogenic immunoglobulin superfamily) (SgIgSF) (Synaptic cell adhesion molecule) (SynCAM) (Tumor suppressor in lung cancer 1) (TSLC-1)	CADM1 IGSF4 IGSF4A NECL2 SYNCAM TSLC1	Homo sapiens (Human)	442
Q13111	CAF1A_HUMAN	reviewed	Chromatin assembly factor 1 subunit A (CAF-1 subunit A) (Chromatin assembly factor I p150 subunit) (CAF-I 150 kDa subunit) (CAF-I p150) (hp150)	CHAF1A CAF CAF1P150	Homo sapiens (Human)	956
Q13112	CAF1B_HUMAN	reviewed	Chromatin assembly factor 1 subunit B (CAF-1 subunit B) (Chromatin assembly factor I p60 subunit) (CAF-I 60 kDa subunit) (CAF-I p60) (M-phase phosphoprotein 7)	CHAF1B CAF1A CAF1P60 MPHOSPH7 MPP7	Homo sapiens (Human)	559
O43570	CAH12_HUMAN	reviewed	Carbonic anhydrase 12 (EC 4.2.1.1) (Carbonate dehydratase XII) (Carbonic anhydrase XII) (CA-XII) (Tumor antigen HOM-RCC-3.1.3)	CA12	Homo sapiens (Human)	354
P00918	CAH2_HUMAN	reviewed	Carbonic anhydrase 2 (EC 4.2.1.1) (Carbonate dehydratase II) (Carbonic anhydrase C) (CAC) (Carbonic anhydrase II) (CA-II)	CA2	Homo sapiens (Human)	260
P35219	CAH8_HUMAN	reviewed	Carbonic anhydrase-related protein (CARP) (Carbonic anhydrase VIII) (CA-VIII)	CA8 CALS	Homo sapiens (Human)	290
P01258	CALC_HUMAN	reviewed	Calcitonin [Cleaved into: Calcitonin; Katacalcin (Calcitonin carboxyl-terminal peptide) (CCP) (PDN-21)]	CALCA CALC1	Homo sapiens (Human)	141
P27482	CALL3_HUMAN	reviewed	Calmodulin-like protein 3 (CaM-like protein) (CLP) (Calmodulin-related protein NB-1)	CALML3	Homo sapiens (Human)	149
P0DP30	CALM2_RAT	reviewed	Calmodulin-2	Calm2 Cam2 Camb CaMII	Rattus norvegicus (Rat)	149
P0DP31	CALM3_RAT	reviewed	Calmodulin-3	Calm3 Cam3 Camc CaMIII	Rattus norvegicus (Rat)	149
P0DP33	CALM1_XENLA	reviewed	Calmodulin-1	calm1	Xenopus laevis (African clawed frog)	149
P0DP23	CALM1_HUMAN	reviewed	Calmodulin-1	CALM1 CALM CAM CAM1	Homo sapiens (Human)	149
P0DP34	CAM2A_XENLA	reviewed	Calmodulin-2 A	calm2-a	Xenopus laevis (African clawed frog)	149
P0DP24	CALM2_HUMAN	reviewed	Calmodulin-2	CALM2 CAM2 CAMB	Homo sapiens (Human)	149
P0DP35	CAM2B_XENLA	reviewed	Calmodulin-2 B	calm2-b	Xenopus laevis (African clawed frog)	149
P0DP25	CALM3_HUMAN	reviewed	Calmodulin-3	CALM3 CALML2 CAM3 CAMC CAMIII	Homo sapiens (Human)	149
P62160	CALM_RABIT	reviewed	Calmodulin (CaM)	CALM CAM	Oryctolagus cuniculus (Rabbit)	149
P62144	CALM_ANAPL	reviewed	Calmodulin (CaM)	CALM CAM	Anas platyrhynchos (Mallard) (Anas boschas)	149
P62156	CALM_ONCSP	reviewed	Calmodulin (CaM)	calm	Oncorhynchus sp. (Salmon)	149
P62146	CALMA_ARBPU	reviewed	Calmodulin-alpha (CaM A) (Fragment)		Arbacia punctulata (Punctuate sea urchin)	142
P62157	CALM_BOVIN	reviewed	Calmodulin (CaM)	CALM CAM	Bos taurus (Bovine)	149
P62150	CALM_ORYLA	reviewed	Calmodulin-A (CaM A) (Fragment)	calm1	Oryzias latipes (Japanese rice fish) (Japanese killifish)	136
P62151	CALM_TETCF	reviewed	Calmodulin (CaM)		Tetronarce californica (Pacific electric ray) (Torpedo californica)	149
P0DP26	CALM1_MOUSE	reviewed	Calmodulin-1	Calm1 Calm Cam Cam1	Mus musculus (Mouse)	149
P0DP27	CALM2_MOUSE	reviewed	Calmodulin-2	Calm2 Cam2 CamC	Mus musculus (Mouse)	149
