Entry	Entry name	Status	Protein names	Gene names	Organism	Length
Q8N8V2	GBP7_HUMAN	reviewed	Guanylate-binding protein 7 (GTP-binding protein 7) (GBP-7) (Guanine nucleotide-binding protein 7) (Guanylate-binding protein 4-like)	GBP7 GBP4L	Homo sapiens (Human)	638
Q8TDM6	DLG5_HUMAN	reviewed	Disks large homolog 5 (Discs large protein P-dlg) (Placenta and prostate DLG)	DLG5 KIAA0583 PDLG	Homo sapiens (Human)	1919
O15230	LAMA5_HUMAN	reviewed	Laminin subunit alpha-5 (Laminin-10 subunit alpha) (Laminin-11 subunit alpha) (Laminin-15 subunit alpha)	LAMA5 KIAA0533 KIAA1907	Homo sapiens (Human)	3695
Q9UFF9	CNOT8_HUMAN	reviewed	CCR4-NOT transcription complex subunit 8 (EC 3.1.13.4) (CAF1-like protein) (CALIFp) (CAF2) (CCR4-associated factor 8) (Caf1b)	CNOT8 CALIF POP2	Homo sapiens (Human)	292
O15198	SMAD9_HUMAN	reviewed	Mothers against decapentaplegic homolog 9 (MAD homolog 9) (Mothers against DPP homolog 9) (Madh6) (SMAD family member 9) (SMAD 9) (Smad9)	SMAD9 MADH6 MADH9 SMAD8	Homo sapiens (Human)	467
Q8WV28	BLNK_HUMAN	reviewed	B-cell linker protein (B-cell adapter containing a SH2 domain protein) (B-cell adapter containing a Src homology 2 domain protein) (Cytoplasmic adapter protein) (Src homology 2 domain-containing leukocyte protein of 65 kDa) (SLP-65)	BLNK BASH SLP65	Homo sapiens (Human)	456
P62873	GBB1_HUMAN	reviewed	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1 (Transducin beta chain 1)	GNB1	Homo sapiens (Human)	340
P78347	GTF2I_HUMAN	reviewed	General transcription factor II-I (GTFII-I) (TFII-I) (Bruton tyrosine kinase-associated protein 135) (BAP-135) (BTK-associated protein 135) (SRF-Phox1-interacting protein) (SPIN) (Williams-Beuren syndrome chromosomal region 6 protein)	GTF2I BAP135 WBSCR6	Homo sapiens (Human)	998
P51617	IRAK1_HUMAN	reviewed	Interleukin-1 receptor-associated kinase 1 (IRAK-1) (EC 2.7.11.1)	IRAK1 IRAK	Homo sapiens (Human)	712
Q08881	ITK_HUMAN	reviewed	Tyrosine-protein kinase ITK/TSK (EC 2.7.10.2) (Interleukin-2-inducible T-cell kinase) (IL-2-inducible T-cell kinase) (Kinase EMT) (T-cell-specific kinase) (Tyrosine-protein kinase Lyk)	ITK EMT LYK	Homo sapiens (Human)	620
Q04759	KPCT_HUMAN	reviewed	Protein kinase C theta type (EC 2.7.11.13) (nPKC-theta)	PRKCQ PRKCT	Homo sapiens (Human)	706
Q9P2D0	IBTK_HUMAN	reviewed	Inhibitor of Bruton tyrosine kinase (IBtk)	IBTK BTKI KIAA1417	Homo sapiens (Human)	1353
P42680	TEC_HUMAN	reviewed	Tyrosine-protein kinase Tec (EC 2.7.10.2)	TEC PSCTK4	Homo sapiens (Human)	631
Q92956	TNR14_HUMAN	reviewed	Tumor necrosis factor receptor superfamily member 14 (Herpes virus entry mediator A) (Herpesvirus entry mediator A) (HveA) (Tumor necrosis factor receptor-like 2) (TR2) (CD antigen CD270)	TNFRSF14 HVEA HVEM UNQ329/PRO509	Homo sapiens (Human)	283
O00203	AP3B1_HUMAN	reviewed	AP-3 complex subunit beta-1 (Adaptor protein complex AP-3 subunit beta-1) (Adaptor-related protein complex 3 subunit beta-1) (Beta-3A-adaptin) (Clathrin assembly protein complex 3 beta-1 large chain)	AP3B1 ADTB3A	Homo sapiens (Human)	1094
O43684	BUB3_HUMAN	reviewed	Mitotic checkpoint protein BUB3	BUB3	Homo sapiens (Human)	328
Q12834	CDC20_HUMAN	reviewed	Cell division cycle protein 20 homolog (p55CDC)	CDC20	Homo sapiens (Human)	499
Q02224	CENPE_HUMAN	reviewed	Centromere-associated protein E (Centromere protein E) (CENP-E) (Kinesin-7) (Kinesin-related protein CENPE)	CENPE	Homo sapiens (Human)	2701
O76070	SYUG_HUMAN	reviewed	Gamma-synuclein (Breast cancer-specific gene 1 protein) (Persyn) (Synoretin) (SR)	SNCG BCSG1 PERSYN PRSN	Homo sapiens (Human)	127
Q9Y6B7	AP4B1_HUMAN	reviewed	AP-4 complex subunit beta-1 (AP-4 adaptor complex subunit beta) (Adaptor-related protein complex 4 subunit beta-1) (Beta subunit of AP-4) (Beta4-adaptin)	AP4B1	Homo sapiens (Human)	739
P78406	RAE1L_HUMAN	reviewed	mRNA export factor (Rae1 protein homolog) (mRNA-associated protein mrnp 41)	RAE1 MRNP41	Homo sapiens (Human)	368
P09326	CD48_HUMAN	reviewed	CD48 antigen (B-lymphocyte activation marker BLAST-1) (BCM1 surface antigen) (Leukocyte antigen MEM-102) (SLAM family member 2) (SLAMF2) (Signaling lymphocytic activation molecule 2) (TCT.1) (CD antigen CD48)	CD48 BCM1 BLAST1	Homo sapiens (Human)	243
P05787	K2C8_HUMAN	reviewed	Keratin, type II cytoskeletal 8 (Cytokeratin-8) (CK-8) (Keratin-8) (K8) (Type-II keratin Kb8)	KRT8 CYK8	Homo sapiens (Human)	483
Q12815	TROAP_HUMAN	reviewed	Tastin (Trophinin-assisting protein) (Trophinin-associated protein)	TROAP	Homo sapiens (Human)	778
Q12816	TROP_HUMAN	reviewed	Trophinin (MAGE-D3 antigen)	TRO KIAA1114 MAGED3	Homo sapiens (Human)	1431
Q15139	KPCD1_HUMAN	reviewed	Serine/threonine-protein kinase D1 (EC 2.7.11.13) (Protein kinase C mu type) (Protein kinase D) (nPKC-D1) (nPKC-mu)	PRKD1 PKD PKD1 PRKCM	Homo sapiens (Human)	912
Q05513	KPCZ_HUMAN	reviewed	Protein kinase C zeta type (EC 2.7.11.13) (nPKC-zeta)	PRKCZ PKC2	Homo sapiens (Human)	592
P50281	MMP14_HUMAN	reviewed	Matrix metalloproteinase-14 (MMP-14) (EC 3.4.24.80) (MMP-X1) (Membrane-type matrix metalloproteinase 1) (MT-MMP 1) (MTMMP1) (Membrane-type-1 matrix metalloproteinase) (MT1-MMP) (MT1MMP)	MMP14	Homo sapiens (Human)	582
P25208	NFYB_HUMAN	reviewed	Nuclear transcription factor Y subunit beta (CAAT box DNA-binding protein subunit B) (Nuclear transcription factor Y subunit B) (NF-YB)	NFYB HAP3	Homo sapiens (Human)	207
P30518	V2R_HUMAN	reviewed	Vasopressin V2 receptor (V2R) (AVPR V2) (Antidiuretic hormone receptor) (Renal-type arginine vasopressin receptor)	AVPR2 ADHR DIR DIR3 V2R	Homo sapiens (Human)	371
Q9BY79	MFRP_HUMAN	reviewed	Membrane frizzled-related protein (Membrane-type frizzled-related protein)	MFRP	Homo sapiens (Human)	579
P01024	CO3_HUMAN	reviewed	Complement C3 (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 1) [Cleaved into: Complement C3 beta chain; C3-beta-c (C3bc); Complement C3 alpha chain; C3a anaphylatoxin; Acylation stimulating protein (ASP) (C3adesArg); Complement C3b alpha' chain; Complement C3c alpha' chain fragment 1; Complement C3dg fragment; Complement C3g fragment; Complement C3d fragment; Complement C3f fragment; Complement C3c alpha' chain fragment 2]	C3 CPAMD1	Homo sapiens (Human)	1663
Q92831	KAT2B_HUMAN	reviewed	Histone acetyltransferase KAT2B (EC 2.3.1.48) (Histone acetyltransferase PCAF) (Histone acetylase PCAF) (Lysine acetyltransferase 2B) (P300/CBP-associated factor) (P/CAF) (Spermidine acetyltransferase KAT2B) (EC 2.3.1.57)	KAT2B PCAF	Homo sapiens (Human)	832
Q16594	TAF9_HUMAN	reviewed	Transcription initiation factor TFIID subunit 9 (RNA polymerase II TBP-associated factor subunit G) (STAF31/32) (Transcription initiation factor TFIID 31 kDa subunit) (TAFII-31) (TAFII31) (Transcription initiation factor TFIID 32 kDa subunit) (TAFII-32) (TAFII32)	TAF9 TAF2G TAFII31	Homo sapiens (Human)	264
Q2QGD7	ZXDC_HUMAN	reviewed	Zinc finger protein ZXDC (ZXD-like zinc finger protein)	ZXDC ZXDL	Homo sapiens (Human)	858
P78368	KC1G2_HUMAN	reviewed	Casein kinase I isoform gamma-2 (CKI-gamma 2) (EC 2.7.11.1)	CSNK1G2 CK1G2	Homo sapiens (Human)	415
Q7RTN4	Q7RTN4_HUMAN	unreviewed	Truncated RTN3-A3	RTN3	Homo sapiens (Human)	85
O95197	RTN3_HUMAN	reviewed	Reticulon-3 (Homolog of ASY protein) (HAP) (Neuroendocrine-specific protein-like 2) (NSP-like protein 2) (Neuroendocrine-specific protein-like II) (NSP-like protein II) (NSPLII)	RTN3 ASYIP NSPL2	Homo sapiens (Human)	1032
Q9P296	C5AR2_HUMAN	reviewed	C5a anaphylatoxin chemotactic receptor 2 (Complement component 5a receptor 2) (G-protein coupled receptor 77)	C5AR2 C5L2 GPR77	Homo sapiens (Human)	337
P01031	CO5_HUMAN	reviewed	Complement C5 (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 4) [Cleaved into: Complement C5 beta chain; Complement C5 alpha chain; C5a anaphylatoxin; Complement C5 alpha' chain]	C5 CPAMD4	Homo sapiens (Human)	1676
Q96LR2	LURA1_HUMAN	reviewed	Leucine rich adaptor protein 1 (Leucine repeat adapter protein 35A)	LURAP1 C1orf190 LRAP35A LRP35A	Homo sapiens (Human)	239
Q9BQD3	KXDL1_HUMAN	reviewed	KxDL motif-containing protein 1	KXD1 C19orf50	Homo sapiens (Human)	176
P51693	APLP1_HUMAN	reviewed	Amyloid-like protein 1 (APLP) (APLP-1) [Cleaved into: C30]	APLP1	Homo sapiens (Human)	650
Q9NXR8	ING3_HUMAN	reviewed	Inhibitor of growth protein 3 (p47ING3)	ING3 HSPC301	Homo sapiens (Human)	418
Q6IE81	JADE1_HUMAN	reviewed	Protein Jade-1 (Jade family PHD finger protein 1) (PHD finger protein 17)	JADE1 KIAA1807 PHF17	Homo sapiens (Human)	842
Q969R5	LMBL2_HUMAN	reviewed	Lethal(3)malignant brain tumor-like protein 2 (H-l(3)mbt-like protein 2) (L(3)mbt-like protein 2)	L3MBTL2	Homo sapiens (Human)	705
Q7RTN6	STRAA_HUMAN	reviewed	STE20-related kinase adapter protein alpha (STRAD alpha) (STE20-related adapter protein) (Serologically defined breast cancer antigen NY-BR-96)	STRADA LYK5 STRAD	Homo sapiens (Human)	431
Q9UI14	PRAF1_HUMAN	reviewed	Prenylated Rab acceptor protein 1 (PRA1 family protein 1)	RABAC1 PRA1 PRAF1	Homo sapiens (Human)	185
Q02080	MEF2B_HUMAN	reviewed	Myocyte-specific enhancer factor 2B (RSRFR2) (Serum response factor-like protein 2)	MEF2B XMEF2	Homo sapiens (Human)	365
P16298	PP2BB_HUMAN	reviewed	Serine/threonine-protein phosphatase 2B catalytic subunit beta isoform (EC 3.1.3.16) (CAM-PRP catalytic subunit) (Calmodulin-dependent calcineurin A subunit beta isoform) (CNA beta)	PPP3CB CALNA2 CALNB CNA2	Homo sapiens (Human)	524
P24864	CCNE1_HUMAN	reviewed	G1/S-specific cyclin-E1	CCNE1 CCNE	Homo sapiens (Human)	410
Q00526	CDK3_HUMAN	reviewed	Cyclin-dependent kinase 3 (EC 2.7.11.22) (Cell division protein kinase 3)	CDK3 CDKN3	Homo sapiens (Human)	305
Q14643	ITPR1_HUMAN	reviewed	Inositol 1,4,5-trisphosphate receptor type 1 (IP3 receptor isoform 1) (IP3R 1) (InsP3R1) (Type 1 inositol 1,4,5-trisphosphate receptor) (Type 1 InsP3 receptor)	ITPR1 INSP3R1	Homo sapiens (Human)	2758
Q14573	ITPR3_HUMAN	reviewed	Inositol 1,4,5-trisphosphate receptor type 3 (IP3 receptor isoform 3) (IP3R 3) (InsP3R3) (Type 3 inositol 1,4,5-trisphosphate receptor) (Type 3 InsP3 receptor)	ITPR3	Homo sapiens (Human)	2671
P35813	PPM1A_HUMAN	reviewed	Protein phosphatase 1A (EC 3.1.3.16) (Protein phosphatase 2C isoform alpha) (PP2C-alpha) (Protein phosphatase IA)	PPM1A PPPM1A	Homo sapiens (Human)	382
O14924	RGS12_HUMAN	reviewed	Regulator of G-protein signaling 12 (RGS12)	RGS12	Homo sapiens (Human)	1447
P54284	CACB3_HUMAN	reviewed	Voltage-dependent L-type calcium channel subunit beta-3 (CAB3) (Calcium channel voltage-dependent subunit beta 3)	CACNB3 CACNLB3	Homo sapiens (Human)	484
P55042	RAD_HUMAN	reviewed	GTP-binding protein RAD (RAD1) (Ras associated with diabetes)	RRAD RAD	Homo sapiens (Human)	308
P78559	MAP1A_HUMAN	reviewed	Microtubule-associated protein 1A (MAP-1A) (Proliferation-related protein p80) [Cleaved into: MAP1A heavy chain; MAP1 light chain LC2]	MAP1A MAP1L	Homo sapiens (Human)	2803
Q9BX90	Q9BX90_HUMAN	unreviewed	Magphinin beta	TRO	Homo sapiens (Human)	706
P21579	SYT1_HUMAN	reviewed	Synaptotagmin-1 (Synaptotagmin I) (SytI) (p65)	SYT1 SVP65 SYT	Homo sapiens (Human)	422
Q9UBZ4	APEX2_HUMAN	reviewed	DNA-(apurinic or apyrimidinic site) endonuclease 2 (EC 3.1.-.-) (AP endonuclease XTH2) (APEX nuclease 2) (APEX nuclease-like 2) (Apurinic-apyrimidinic endonuclease 2) (AP endonuclease 2)	APEX2 APE2 APEXL2 XTH2	Homo sapiens (Human)	518
Q8N715	CC185_HUMAN	reviewed	Coiled-coil domain-containing protein 185	CCDC185 C1orf65	Homo sapiens (Human)	623
Q53FD0	ZC21C_HUMAN	reviewed	Zinc finger C2HC domain-containing protein 1C	ZC2HC1C C14orf140 FAM164C	Homo sapiens (Human)	456
Q9UBL6	CPNE7_HUMAN	reviewed	Copine-7 (Copine VII)	CPNE7	Homo sapiens (Human)	633
Q9BVV2	FND11_HUMAN	reviewed	Fibronectin type III domain-containing protein 11	FNDC11 C20orf195	Homo sapiens (Human)	318
Q9BQY9	DBND2_HUMAN	reviewed	Dysbindin domain-containing protein 2 (Casein kinase-1 binding protein) (CK1BP) (HSMNP1)	DBNDD2 C20orf35	Homo sapiens (Human)	259
Q8IYF1	ELOA2_HUMAN	reviewed	Elongin-A2 (EloA2) (RNA polymerase II transcription factor SIII subunit A2) (Transcription elongation factor B polypeptide 3B)	ELOA2 TCEB3B TCEB3L	Homo sapiens (Human)	753
Q14296	FASTK_HUMAN	reviewed	Fas-activated serine/threonine kinase (FAST kinase) (EC 2.7.11.8)	FASTK	Homo sapiens (Human)	549
Q8TES7	FBF1_HUMAN	reviewed	Fas-binding factor 1 (FBF-1) (Protein albatross)	FBF1 ALB KIAA1863	Homo sapiens (Human)	1133
Q96ME1	FXL18_HUMAN	reviewed	F-box/LRR-repeat protein 18 (F-box and leucine-rich repeat protein 18)	FBXL18 FBL18	Homo sapiens (Human)	805
Q9H0R8	GBRL1_HUMAN	reviewed	Gamma-aminobutyric acid receptor-associated protein-like 1 (Early estrogen-regulated protein) (GABA(A) receptor-associated protein-like 1) (Glandular epithelial cell protein 1) (GEC-1)	GABARAPL1 GEC1	Homo sapiens (Human)	117
Q9Y4Z0	LSM4_HUMAN	reviewed	U6 snRNA-associated Sm-like protein LSm4 (Glycine-rich protein) (GRP)	LSM4	Homo sapiens (Human)	139
Q9UBV8	PEF1_HUMAN	reviewed	Peflin (PEF protein with a long N-terminal hydrophobic domain) (Penta-EF hand domain-containing protein 1)	PEF1 ABP32 UNQ1845/PRO3573	Homo sapiens (Human)	284
Q9UNA4	POLI_HUMAN	reviewed	DNA polymerase iota (EC 2.7.7.7) (Eta2) (RAD30 homolog B)	POLI RAD30B	Homo sapiens (Human)	740
Q96S44	PRPK_HUMAN	reviewed	EKC/KEOPS complex subunit TP53RK (EC 3.6.-.-) (Atypical serine/threonine protein kinase TP53RK) (Nori-2) (TP53-regulating kinase) (EC 2.7.11.1) (p53-related protein kinase)	TP53RK C20orf64 PRPK	Homo sapiens (Human)	253
Q9UKA9	PTBP2_HUMAN	reviewed	Polypyrimidine tract-binding protein 2 (Neural polypyrimidine tract-binding protein) (Neurally-enriched homolog of PTB) (PTB-like protein)	PTBP2 NPTB PTB PTBLP	Homo sapiens (Human)	531
Q5JZ02	Q5JZ02_HUMAN	unreviewed	Non-specific serine/threonine protein kinase (EC 2.7.11.1)	TP53RK	Homo sapiens (Human)	121
Q5T5S8	Q5T5S8_HUMAN		Deleted.			
Q96D16	Q96D16_HUMAN	unreviewed	F-box/LRR-repeat protein 18 (FBXL18 protein)	FBXL18	Homo sapiens (Human)	259
Q96F93	Q96F93_HUMAN	unreviewed	ZNF101 protein (Fragment)	ZNF101	Homo sapiens (Human)	373
Q9BWD7	Q9BWD7_HUMAN	unreviewed	FASTK protein	FASTK	Homo sapiens (Human)	465
Q9H918	Q9H918_HUMAN	unreviewed	cDNA FLJ13079 fis, clone NT2RP3002004, moderately similar to H.sapiens FAST kinase		Homo sapiens (Human)	159
Q8TCX5	RHPN1_HUMAN	reviewed	Rhophilin-1 (GTP-Rho-binding protein 1)	RHPN1 KIAA1929	Homo sapiens (Human)	670
Q8IZC7	ZN101_HUMAN	reviewed	Zinc finger protein 101 (Zinc finger protein HZF12)	ZNF101	Homo sapiens (Human)	436
Q9H9D4	ZN408_HUMAN	reviewed	Zinc finger protein 408 (PR domain zinc finger protein 17)	ZNF408 PFM14 PRDM17	Homo sapiens (Human)	720
Q9BUY5	ZN426_HUMAN	reviewed	Zinc finger protein 426	ZNF426	Homo sapiens (Human)	554
Q14966	ZN638_HUMAN	reviewed	Zinc finger protein 638 (Cutaneous T-cell lymphoma-associated antigen se33-1) (CTCL-associated antigen se33-1) (Nuclear protein 220) (Zinc finger matrin-like protein)	ZNF638 NP220 ZFML	Homo sapiens (Human)	1978
Q9ULB5	CADH7_HUMAN	reviewed	Cadherin-7	CDH7 CDH7L1	Homo sapiens (Human)	785
Q15848	ADIPO_HUMAN	reviewed	Adiponectin (30 kDa adipocyte complement-related protein) (Adipocyte complement-related 30 kDa protein) (ACRP30) (Adipocyte, C1q and collagen domain-containing protein) (Adipose most abundant gene transcript 1 protein) (apM-1) (Gelatin-binding protein)	ADIPOQ ACDC ACRP30 APM1 GBP28	Homo sapiens (Human)	244
Q4KMG0	CDON_HUMAN	reviewed	Cell adhesion molecule-related/down-regulated by oncogenes	CDON CDO	Homo sapiens (Human)	1287
Q9ULB4	CADH9_HUMAN	reviewed	Cadherin-9	CDH9	Homo sapiens (Human)	789
O60716	CTND1_HUMAN	reviewed	Catenin delta-1 (Cadherin-associated Src substrate) (CAS) (p120 catenin) (p120(ctn)) (p120(cas))	CTNND1 KIAA0384	Homo sapiens (Human)	968
Q9UQB3	CTND2_HUMAN	reviewed	Catenin delta-2 (Delta-catenin) (GT24) (Neural plakophilin-related ARM-repeat protein) (NPRAP) (Neurojungin)	CTNND2 NPRAP	Homo sapiens (Human)	1225
Q75N03	HAKAI_HUMAN	reviewed	E3 ubiquitin-protein ligase Hakai (EC 2.3.2.27) (Casitas B-lineage lymphoma-transforming sequence-like protein 1) (c-Cbl-like protein 1) (RING finger protein 188) (RING-type E3 ubiquitin transferase Hakai)	CBLL1 HAKAI RNF188	Homo sapiens (Human)	491
P38570	ITAE_HUMAN	reviewed	Integrin alpha-E (HML-1 antigen) (Integrin alpha-IEL) (Mucosal lymphocyte 1 antigen) (CD antigen CD103) [Cleaved into: Integrin alpha-E light chain; Integrin alpha-E heavy chain]	ITGAE	Homo sapiens (Human)	1179
P26010	ITB7_HUMAN	reviewed	Integrin beta-7 (Gut homing receptor beta subunit)	ITGB7	Homo sapiens (Human)	798
P28827	PTPRM_HUMAN	reviewed	Receptor-type tyrosine-protein phosphatase mu (Protein-tyrosine phosphatase mu) (R-PTP-mu) (EC 3.1.3.48)	PTPRM PTPRL1	Homo sapiens (Human)	1452
P35221	CTNA1_HUMAN	reviewed	Catenin alpha-1 (Alpha E-catenin) (Cadherin-associated protein) (Renal carcinoma antigen NY-REN-13)	CTNNA1	Homo sapiens (Human)	906
P29317	EPHA2_HUMAN	reviewed	Ephrin type-A receptor 2 (EC 2.7.10.1) (Epithelial cell kinase) (Tyrosine-protein kinase receptor ECK)	EPHA2 ECK	Homo sapiens (Human)	976
Q99569	PKP4_HUMAN	reviewed	Plakophilin-4 (p0071)	PKP4	Homo sapiens (Human)	1192
Q13112	CAF1B_HUMAN	reviewed	Chromatin assembly factor 1 subunit B (CAF-1 subunit B) (Chromatin assembly factor I p60 subunit) (CAF-I 60 kDa subunit) (CAF-I p60) (M-phase phosphoprotein 7)	CHAF1B CAF1A CAF1P60 MPHOSPH7 MPP7	Homo sapiens (Human)	559
P68431	H31_HUMAN	reviewed	Histone H3.1 (Histone H3/a) (Histone H3/b) (Histone H3/c) (Histone H3/d) (Histone H3/f) (Histone H3/h) (Histone H3/i) (Histone H3/j) (Histone H3/k) (Histone H3/l)	H3C1 H3FA HIST1H3A; H3C2 H3FL HIST1H3B; H3C3 H3FC HIST1H3C; H3C4 H3FB HIST1H3D; H3C6 H3FD HIST1H3E; H3C7 H3FI HIST1H3F; H3C8 H3FH HIST1H3G; H3C10 H3FK HIST1H3H; H3C11 H3FF HIST1H3I; H3C12 H3FJ HIST1H3J	Homo sapiens (Human)	136
P47929	LEG7_HUMAN	reviewed	Galectin-7 (Gal-7) (HKL-14) (PI7) (p53-induced gene 1 protein)	LGALS7 PIG1; LGALS7B	Homo sapiens (Human)	136
O75427	LRCH4_HUMAN	reviewed	Leucine-rich repeat and calponin homology domain-containing protein 4 (Leucine-rich repeat neuronal protein 4) (Leucine-rich neuronal protein)	LRCH4 LRN LRRN1 LRRN4	Homo sapiens (Human)	683
Q8TEE9	SAP25_HUMAN	reviewed	Histone deacetylase complex subunit SAP25 (25 kDa Sin3-associated polypeptide) (Sin3 corepressor complex subunit SAP25)	SAP25	Homo sapiens (Human)	199
Q6AI39	BICRL_HUMAN	reviewed	BRD4-interacting chromatin-remodeling complex-associated protein-like (Glioma tumor suppressor candidate region gene 1 protein-like)	BICRAL GLTSCR1L KIAA0240	Homo sapiens (Human)	1079
Q9HCS7	SYF1_HUMAN	reviewed	Pre-mRNA-splicing factor SYF1 (Protein HCNP) (XPA-binding protein 2)	XAB2 HCNP KIAA1177 SYF1 PP3898	Homo sapiens (Human)	855
Q16602	CALRL_HUMAN	reviewed	Calcitonin gene-related peptide type 1 receptor (CGRP type 1 receptor) (Calcitonin receptor-like receptor)	CALCRL CGRPR	Homo sapiens (Human)	461
O60894	RAMP1_HUMAN	reviewed	Receptor activity-modifying protein 1 (Calcitonin-receptor-like receptor activity-modifying protein 1) (CRLR activity-modifying protein 1)	RAMP1	Homo sapiens (Human)	148
Q9H0B3	IQCN_HUMAN	reviewed	IQ domain-containing protein N	IQCN KIAA1683	Homo sapiens (Human)	1180
Q9UM54	MYO6_HUMAN	reviewed	Unconventional myosin-VI (Unconventional myosin-6)	MYO6 KIAA0389	Homo sapiens (Human)	1294
P17677	NEUM_HUMAN	reviewed	Neuromodulin (Axonal membrane protein GAP-43) (Growth-associated protein 43) (Neural phosphoprotein B-50) (pp46)	GAP43	Homo sapiens (Human)	238
P16284	PECA1_HUMAN	reviewed	Platelet endothelial cell adhesion molecule (PECAM-1) (EndoCAM) (GPIIA') (PECA1) (CD antigen CD31)	PECAM1	Homo sapiens (Human)	738
Q14784	Q14784_HUMAN	unreviewed	Myosin (Fragment)		Homo sapiens (Human)	87
P11233	RALA_HUMAN	reviewed	Ras-related protein Ral-A (EC 3.6.5.2)	RALA RAL	Homo sapiens (Human)	206
P11234	RALB_HUMAN	reviewed	Ras-related protein Ral-B (EC 3.6.5.2)	RALB	Homo sapiens (Human)	206
Q04864	REL_HUMAN	reviewed	Proto-oncogene c-Rel	REL	Homo sapiens (Human)	619
P10321	HLAC_HUMAN	reviewed	HLA class I histocompatibility antigen, C alpha chain (HLA-C) (HLA-Cw) (Human leukocyte antigen C)	HLA-C HLAC	Homo sapiens (Human)	366
P02675	FIBB_HUMAN	reviewed	Fibrinogen beta chain [Cleaved into: Fibrinopeptide B; Fibrinogen beta chain]	FGB	Homo sapiens (Human)	491
P26006	ITA3_HUMAN	reviewed	Integrin alpha-3 (CD49 antigen-like family member C) (FRP-2) (Galactoprotein B3) (GAPB3) (VLA-3 subunit alpha) (CD antigen CD49c) [Cleaved into: Integrin alpha-3 heavy chain; Integrin alpha-3 light chain]	ITGA3 MSK18	Homo sapiens (Human)	1051
P60201	MYPR_HUMAN	reviewed	Myelin proteolipid protein (PLP) (Lipophilin)	PLP1 PLP	Homo sapiens (Human)	277
Q13087	PDIA2_HUMAN	reviewed	Protein disulfide-isomerase A2 (EC 5.3.4.1) (Pancreas-specific protein disulfide isomerase) (PDIp)	PDIA2 PDIP	Homo sapiens (Human)	525
P06881	CALCA_HUMAN	reviewed	Calcitonin gene-related peptide 1 (Alpha-type CGRP) (Calcitonin gene-related peptide I) (CGRP-I)	CALCA CALC1	Homo sapiens (Human)	128
O75575	RPC9_HUMAN	reviewed	DNA-directed RNA polymerase III subunit RPC9 (RNA polymerase III subunit C9) (Calcitonin gene-related peptide-receptor component protein) (CGRP-RCP) (CGRP-receptor component protein) (CGRPRCP) (HsC17)	CRCP	Homo sapiens (Human)	148
P13569	CFTR_HUMAN	reviewed	Cystic fibrosis transmembrane conductance regulator (CFTR) (ATP-binding cassette sub-family C member 7) (Channel conductance-controlling ATPase) (EC 5.6.1.6) (cAMP-dependent chloride channel)	CFTR ABCC7	Homo sapiens (Human)	1480
Q6IAM1	Q6IAM1_HUMAN	unreviewed	Family with sequence similarity 107 member A transcript variant (Family with sequence similarity 107, member A, isoform CRA_a) (TU3A protein)	TU3A FAM107A hCG_22019	Homo sapiens (Human)	144
Q9HAU4	SMUF2_HUMAN	reviewed	E3 ubiquitin-protein ligase SMURF2 (hSMURF2) (EC 2.3.2.26) (HECT-type E3 ubiquitin transferase SMURF2) (SMAD ubiquitination regulatory factor 2) (SMAD-specific E3 ubiquitin-protein ligase 2)	SMURF2	Homo sapiens (Human)	748
P23284	PPIB_HUMAN	reviewed	Peptidyl-prolyl cis-trans isomerase B (PPIase B) (EC 5.2.1.8) (CYP-S1) (Cyclophilin B) (Rotamase B) (S-cyclophilin) (SCYLP)	PPIB CYPB	Homo sapiens (Human)	216
O43903	GAS2_HUMAN	reviewed	Growth arrest-specific protein 2 (GAS-2)	GAS2	Homo sapiens (Human)	313
P27348	1433T_HUMAN	reviewed	14-3-3 protein theta (14-3-3 protein T-cell) (14-3-3 protein tau) (Protein HS1)	YWHAQ	Homo sapiens (Human)	245
Q7Z6G3	NECA2_HUMAN	reviewed	N-terminal EF-hand calcium-binding protein 2 (EF-hand calcium-binding protein 2) (Neuronal calcium-binding protein 2) (Synaptotagmin-interacting protein 2) (Stip-2)	NECAB2 EFCBP2	Homo sapiens (Human)	386
O95644	NFAC1_HUMAN	reviewed	Nuclear factor of activated T-cells, cytoplasmic 1 (NF-ATc1) (NFATc1) (NFAT transcription complex cytosolic component) (NF-ATc) (NFATc)	NFATC1 NFAT2 NFATC	Homo sapiens (Human)	943
Q13469	NFAC2_HUMAN	reviewed	Nuclear factor of activated T-cells, cytoplasmic 2 (NF-ATc2) (NFATc2) (NFAT pre-existing subunit) (NF-ATp) (T-cell transcription factor NFAT1)	NFATC2 NFAT1 NFATP	Homo sapiens (Human)	925
Q08209	PP2BA_HUMAN	reviewed	Serine/threonine-protein phosphatase 2B catalytic subunit alpha isoform (EC 3.1.3.16) (CAM-PRP catalytic subunit) (Calmodulin-dependent calcineurin A subunit alpha isoform)	PPP3CA CALNA CNA	Homo sapiens (Human)	521
Q8IV04	TB10C_HUMAN	reviewed	Carabin (TBC1 domain family member 10C)	TBC1D10C	Homo sapiens (Human)	446
Q13616	CUL1_HUMAN	reviewed	Cullin-1 (CUL-1)	CUL1	Homo sapiens (Human)	776
